[2026-04-01T18:47:43.096Z] GET http://localhost:4000/ → pending (?ms, ?B)
[2026-04-01T19:03:43.206Z] GET http://localhost:4000/main.c46ac79157bc2b085c75.hot-update.js → 200 (3ms, 57031B)
[2026-04-01T19:03:55.999Z] GET http://localhost:4000/main.b8b41536ff112b48e3df.hot-update.json → 200 (20ms, 28B)
[2026-04-01T19:03:56.019Z] GET http://localhost:4000/main.b8b41536ff112b48e3df.hot-update.js → 200 (5ms, 57120B)
[2026-04-01T19:04:06.477Z] GET http://localhost:4000/main.edd3b48209e59f8d1371.hot-update.json → 200 (20ms, 28B)
[2026-04-01T19:04:06.497Z] GET http://localhost:4000/main.edd3b48209e59f8d1371.hot-update.js → 200 (1ms, 57196B)
[2026-04-01T19:04:16.712Z] GET http://localhost:4000/main.893afefa3e96d6adaba2.hot-update.json → 200 (11ms, 28B)
[2026-04-01T19:04:16.724Z] GET http://localhost:4000/main.893afefa3e96d6adaba2.hot-update.js → 200 (2ms, 57255B)
[2026-04-01T19:04:33.480Z] GET http://localhost:4000/main.e5ec3818a4e7d8e06d2c.hot-update.json → 200 (10ms, 28B)
[2026-04-01T19:04:33.491Z] GET http://localhost:4000/main.e5ec3818a4e7d8e06d2c.hot-update.js → 200 (1ms, 2572B)
[2026-04-01T19:04:38.844Z] GET http://localhost:4000/main.4949d26df8963764d7e0.hot-update.json → 200 (7ms, 28B)
[2026-04-01T19:04:38.851Z] GET http://localhost:4000/main.4949d26df8963764d7e0.hot-update.js → 200 (1ms, 14075B)
[2026-04-01T19:04:38.890Z] GET http://localhost:8080/random → 200 (157ms, 76B)
[2026-04-01T19:04:38.890Z] GET http://localhost:8080/author/name → 200 (5ms, 20B)
[2026-04-01T19:04:47.010Z] GET http://localhost:4000/main.7dffec05ddc6775f9190.hot-update.json → 200 (8ms, 28B)
[2026-04-01T19:04:47.018Z] GET http://localhost:4000/main.7dffec05ddc6775f9190.hot-update.js → 200 (2ms, 14174B)
[2026-04-01T19:04:47.057Z] GET http://localhost:8080/random → 200 (12ms, 77B)
[2026-04-01T19:04:47.057Z] GET http://localhost:8080/author/name → 200 (3ms, 20B)
[2026-04-01T19:04:51.273Z] GET http://localhost:4000/main.17da33fc7caf3c06ddb9.hot-update.json → 200 (7ms, 28B)
[2026-04-01T19:04:51.280Z] GET http://localhost:4000/main.17da33fc7caf3c06ddb9.hot-update.js → 200 (2ms, 14273B)
[2026-04-01T19:04:51.319Z] GET http://localhost:8080/random → 200 (14ms, 56B)
[2026-04-01T19:04:51.319Z] GET http://localhost:8080/author/name → 200 (1ms, 20B)
[2026-04-01T19:05:03.502Z] GET http://localhost:4000/main.86b2961f235bdd511741.hot-update.json → 200 (8ms, 28B)
[2026-04-01T19:05:03.511Z] GET http://localhost:4000/main.86b2961f235bdd511741.hot-update.js → 200 (4ms, 57270B)
[2026-04-01T19:05:16.081Z] GET http://localhost:4000/main.fac67c819d55b380541d.hot-update.json → 200 (11ms, 28B)
[2026-04-01T19:05:16.093Z] GET http://localhost:4000/main.fac67c819d55b380541d.hot-update.js → 200 (2ms, 57410B)
[2026-04-01T19:05:27.387Z] GET http://localhost:4000/ → 200 (5ms, 670B)
[2026-04-01T19:05:27.404Z] GET http://localhost:4000/static/js/bundle.js → 200 (7ms, ?B)
[2026-04-01T19:05:27.770Z] GET https://fonts.googleapis.com/css2?family=Montserrat:wght@400;600;700;900&family=Inter:wght@400;500;600&family=Playfair+Display:ital,wght@0,700;1,700&display=swap → 200 (?ms, 18678B)
[2026-04-01T19:05:27.773Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
